Weight,Calories,Protein,Fats,Carbohydrates
100,1100,140,24.2,80.55
101,1111,141.4,24.442,81.3555
102,1122,142.8,24.684,82.161
103,1133,144.2,24.926,82.9665
104,1144,145.6,25.168,83.772
105,1155,147,25.41,84.5775
106,1166,148.4,25.652,85.383
107,1177,149.8,25.894,86.1885
108,1188,151.2,26.136,86.994
109,1199,152.6,26.378,87.7995
110,1210,154,26.62,88.605
111,1221,155.4,26.862,89.4105
112,1232,156.8,27.104,90.216
113,1243,158.2,27.346,91.0215
114,1254,159.6,27.588,91.827
115,1265,161,27.83,92.6325
116,1276,162.4,28.072,93.438
117,1287,163.8,28.314,94.2435
118,1298,165.2,28.556,95.049
119,1309,166.6,28.798,95.8545
120,1320,168,29.04,96.66
121,1331,169.4,29.282,97.4655
122,1342,170.8,29.524,98.271
123,1353,172.2,29.766,99.0765
124,1364,173.6,30.008,99.882
125,1375,175,30.25,100.6875
126,1386,176.4,30.492,101.493
127,1397,177.8,30.734,102.2985
128,1408,179.2,30.976,103.104
129,1419,180.6,31.218,103.9095
130,1430,182,31.46,104.715
131,1441,183.4,31.702,105.5205
132,1452,184.8,31.944,106.326
133,1463,186.2,32.186,107.1315
134,1474,187.6,32.428,107.937
135,1485,189,32.67,108.7425
136,1496,190.4,32.912,109.548
137,1507,191.8,33.154,110.3535
138,1518,193.2,33.396,111.159
139,1529,194.6,33.638,111.9645
140,1540,196,33.88,112.77
141,1551,197.4,34.122,113.5755
142,1562,198.8,34.364,114.381
143,1573,200.2,34.606,115.1865
144,1584,201.6,34.848,115.992
145,1595,203,35.09,116.7975
146,1606,204.4,35.332,117.603
147,1617,205.8,35.574,118.4085
148,1628,207.2,35.816,119.214
149,1639,208.6,36.058,120.0195
150,1650,210,36.3,120.825
151,1661,211.4,36.542,121.6305
152,1672,212.8,36.784,122.436
153,1683,214.2,37.026,123.2415
154,1694,215.6,37.268,124.047
155,1705,217,37.51,124.8525
156,1716,218.4,37.752,125.658
157,1727,219.8,37.994,126.4635
158,1738,221.2,38.236,127.269
159,1749,222.6,38.478,128.0745
160,1760,224,38.72,128.88
161,1771,225.4,38.962,129.6855
162,1782,226.8,39.204,130.491
163,1793,228.2,39.446,131.2965
164,1804,229.6,39.688,132.102
165,1815,231,39.93,132.9075
166,1826,232.4,40.172,133.713
167,1837,233.8,40.414,134.5185
168,1848,235.2,40.656,135.324
169,1859,236.6,40.898,136.1295
170,1870,238,41.14,136.935
171,1881,239.4,41.382,137.7405
172,1892,240.8,41.624,138.546
173,1903,242.2,41.866,139.3515
174,1914,243.6,42.108,140.157
175,1925,245,42.35,140.9625
176,1936,246.4,42.592,141.768
177,1947,247.8,42.834,142.5735
178,1958,249.2,43.076,143.379
179,1969,250.6,43.318,144.1845
180,1980,252,43.56,144.99
181,1991,253.4,43.802,145.7955
182,2002,254.8,44.044,146.601
183,2013,256.2,44.286,147.4065
184,2024,257.6,44.528,148.212
185,2035,259,44.77,149.0175
186,2046,260.4,45.012,149.823
187,2057,261.8,45.254,150.6285
188,2068,263.2,45.496,151.434
189,2079,264.6,45.738,152.2395
190,2090,266,45.98,153.045
191,2101,267.4,46.222,153.8505
192,2112,268.8,46.464,154.656
193,2123,270.2,46.706,155.4615
194,2134,271.6,46.948,156.267
195,2145,273,47.19,157.0725
196,2156,274.4,47.432,157.878
197,2167,275.8,47.674,158.6835
198,2178,277.2,47.916,159.489
199,2189,278.6,48.158,160.2945
200,2200,280,48.4,161.1
201,2211,281.4,48.642,161.9055
202,2222,282.8,48.884,162.711
203,2233,284.2,49.126,163.5165
204,2244,285.6,49.368,164.322
205,2255,287,49.61,165.1275
206,2266,288.4,49.852,165.933
207,2277,289.8,50.094,166.7385
208,2288,291.2,50.336,167.544
209,2299,292.6,50.578,168.3495
210,2310,294,50.82,169.155
211,2321,295.4,51.062,169.9605
212,2332,296.8,51.304,170.766
213,2343,298.2,51.546,171.5715
214,2354,299.6,51.788,172.377
215,2365,301,52.03,173.1825
216,2376,302.4,52.272,173.988
217,2387,303.8,52.514,174.7935
218,2398,305.2,52.756,175.599
219,2409,306.6,52.998,176.4045
220,2420,308,53.24,177.21
221,2431,309.4,53.482,178.0155
222,2442,310.8,53.724,178.821
223,2453,312.2,53.966,179.6265
224,2464,313.6,54.208,180.432
225,2475,315,54.45,181.2375
226,2486,316.4,54.692,182.043
227,2497,317.8,54.934,182.8485
228,2508,319.2,55.176,183.654
229,2519,320.6,55.418,184.4595
230,2530,322,55.66,185.265
231,2541,323.4,55.902,186.0705
232,2552,324.8,56.144,186.876
233,2563,326.2,56.386,187.6815
234,2574,327.6,56.628,188.487
235,2585,329,56.87,189.2925
236,2596,330.4,57.112,190.098
237,2607,331.8,57.354,190.9035
238,2618,333.2,57.596,191.709
239,2629,334.6,57.838,192.5145
240,2640,336,58.08,193.32
241,2651,337.4,58.322,194.1255
242,2662,338.8,58.564,194.931
243,2673,340.2,58.806,195.7365
244,2684,341.6,59.048,196.542
245,2695,343,59.29,197.3475
246,2706,344.4,59.532,198.153
247,2717,345.8,59.774,198.9585
248,2728,347.2,60.016,199.764
249,2739,348.6,60.258,200.5695
250,2750,350,60.5,201.375
251,2761,351.4,60.742,202.1805
252,2772,352.8,60.984,202.986
253,2783,354.2,61.226,203.7915
254,2794,355.6,61.468,204.597
255,2805,357,61.71,205.4025
256,2816,358.4,61.952,206.208
257,2827,359.8,62.194,207.0135
258,2838,361.2,62.436,207.819
259,2849,362.6,62.678,208.6245
260,2860,364,62.92,209.43
261,2871,365.4,63.162,210.2355
262,2882,366.8,63.404,211.041
263,2893,368.2,63.646,211.8465
264,2904,369.6,63.888,212.652
265,2915,371,64.13,213.4575
266,2926,372.4,64.372,214.263
267,2937,373.8,64.614,215.0685
268,2948,375.2,64.856,215.874
269,2959,376.6,65.098,216.6795
270,2970,378,65.34,217.485
271,2981,379.4,65.582,218.2905
272,2992,380.8,65.824,219.096
273,3003,382.2,66.066,219.9015
274,3014,383.6,66.308,220.707
275,3025,385,66.55,221.5125
276,3036,386.4,66.792,222.318
