Weight,Calories,Protein,Fats,Carbohydrates
100,1700,140,37.4,200.85
101,1717,141.4,37.774,202.8585
102,1734,142.8,38.148,204.867
103,1751,144.2,38.522,206.8755
104,1768,145.6,38.896,208.884
105,1785,147,39.27,210.8925
106,1802,148.4,39.644,212.901
107,1819,149.8,40.018,214.9095
108,1836,151.2,40.392,216.918
109,1853,152.6,40.766,218.9265
110,1870,154,41.14,220.935
111,1887,155.4,41.514,222.9435
112,1904,156.8,41.888,224.952
113,1921,158.2,42.262,226.9605
114,1938,159.6,42.636,228.969
115,1955,161,43.01,230.9775
116,1972,162.4,43.384,232.986
117,1989,163.8,43.758,234.9945
118,2006,165.2,44.132,237.003
119,2023,166.6,44.506,239.0115
120,2040,168,44.88,241.02
121,2057,169.4,45.254,243.0285
122,2074,170.8,45.628,245.037
123,2091,172.2,46.002,247.0455
124,2108,173.6,46.376,249.054
125,2125,175,46.75,251.0625
126,2142,176.4,47.124,253.071
127,2159,177.8,47.498,255.0795
128,2176,179.2,47.872,257.088
129,2193,180.6,48.246,259.0965
130,2210,182,48.62,261.105
131,2227,183.4,48.994,263.1135
132,2244,184.8,49.368,265.122
133,2261,186.2,49.742,267.1305
134,2278,187.6,50.116,269.139
135,2295,189,50.49,271.1475
136,2312,190.4,50.864,273.156
137,2329,191.8,51.238,275.1645
138,2346,193.2,51.612,277.173
139,2363,194.6,51.986,279.1815
140,2380,196,52.36,281.19
141,2397,197.4,52.734,283.1985
142,2414,198.8,53.108,285.207
143,2431,200.2,53.482,287.2155
144,2448,201.6,53.856,289.224
145,2465,203,54.23,291.2325
146,2482,204.4,54.604,293.241
147,2499,205.8,54.978,295.2495
148,2516,207.2,55.352,297.258
149,2533,208.6,55.726,299.2665
150,2550,210,56.1,301.275
151,2567,211.4,56.474,303.2835
152,2584,212.8,56.848,305.292
153,2601,214.2,57.222,307.3005
154,2618,215.6,57.596,309.309
155,2635,217,57.97,311.3175
156,2652,218.4,58.344,313.326
157,2669,219.8,58.718,315.3345
158,2686,221.2,59.092,317.343
159,2703,222.6,59.466,319.3515
160,2720,224,59.84,321.36
161,2737,225.4,60.214,323.3685
162,2754,226.8,60.588,325.377
163,2771,228.2,60.962,327.3855
164,2788,229.6,61.336,329.394
165,2805,231,61.71,331.4025
166,2822,232.4,62.084,333.411
167,2839,233.8,62.458,335.4195
168,2856,235.2,62.832,337.428
169,2873,236.6,63.206,339.4365
170,2890,238,63.58,341.445
171,2907,239.4,63.954,343.4535
172,2924,240.8,64.328,345.462
173,2941,242.2,64.702,347.4705
174,2958,243.6,65.076,349.479
175,2975,245,65.45,351.4875
176,2992,246.4,65.824,353.496
177,3009,247.8,66.198,355.5045
178,3026,249.2,66.572,357.513
179,3043,250.6,66.946,359.5215
180,3060,252,67.32,361.53
