Weight,Calories,Protein,Fats,Carbohydrates
100,1400,140,30.8,140.7
101,1414,141.4,31.108,142.107
102,1428,142.8,31.416,143.514
103,1442,144.2,31.724,144.921
104,1456,145.6,32.032,146.328
105,1470,147,32.34,147.735
106,1484,148.4,32.648,149.142
107,1498,149.8,32.956,150.549
108,1512,151.2,33.264,151.956
109,1526,152.6,33.572,153.363
110,1540,154,33.88,154.77
111,1554,155.4,34.188,156.177
112,1568,156.8,34.496,157.584
113,1582,158.2,34.804,158.991
114,1596,159.6,35.112,160.398
115,1610,161,35.42,161.805
116,1624,162.4,35.728,163.212
117,1638,163.8,36.036,164.619
118,1652,165.2,36.344,166.026
119,1666,166.6,36.652,167.433
120,1680,168,36.96,168.84
121,1694,169.4,37.268,170.247
122,1708,170.8,37.576,171.654
123,1722,172.2,37.884,173.061
124,1736,173.6,38.192,174.468
125,1750,175,38.5,175.875
126,1764,176.4,38.808,177.282
127,1778,177.8,39.116,178.689
128,1792,179.2,39.424,180.096
129,1806,180.6,39.732,181.503
130,1820,182,40.04,182.91
131,1834,183.4,40.348,184.317
132,1848,184.8,40.656,185.724
133,1862,186.2,40.964,187.131
134,1876,187.6,41.272,188.538
135,1890,189,41.58,189.945
136,1904,190.4,41.888,191.352
137,1918,191.8,42.196,192.759
138,1932,193.2,42.504,194.166
139,1946,194.6,42.812,195.573
140,1960,196,43.12,196.98
141,1974,197.4,43.428,198.387
142,1988,198.8,43.736,199.794
143,2002,200.2,44.044,201.201
144,2016,201.6,44.352,202.608
145,2030,203,44.66,204.015
146,2044,204.4,44.968,205.422
147,2058,205.8,45.276,206.829
148,2072,207.2,45.584,208.236
149,2086,208.6,45.892,209.643
150,2100,210,46.2,211.05
151,2114,211.4,46.508,212.457
152,2128,212.8,46.816,213.864
153,2142,214.2,47.124,215.271
154,2156,215.6,47.432,216.678
155,2170,217,47.74,218.085
156,2184,218.4,48.048,219.492
157,2198,219.8,48.356,220.899
158,2212,221.2,48.664,222.306
159,2226,222.6,48.972,223.713
160,2240,224,49.28,225.12
161,2254,225.4,49.588,226.527
162,2268,226.8,49.896,227.934
163,2282,228.2,50.204,229.341
164,2296,229.6,50.512,230.748
165,2310,231,50.82,232.155
166,2324,232.4,51.128,233.562
167,2338,233.8,51.436,234.969
168,2352,235.2,51.744,236.376
169,2366,236.6,52.052,237.783
170,2380,238,52.36,239.19
171,2394,239.4,52.668,240.597
172,2408,240.8,52.976,242.004
173,2422,242.2,53.284,243.411
174,2436,243.6,53.592,244.818
175,2450,245,53.9,246.225
176,2464,246.4,54.208,247.632
177,2478,247.8,54.516,249.039
178,2492,249.2,54.824,250.446
179,2506,250.6,55.132,251.853
180,2520,252,55.44,253.26
181,2534,253.4,55.748,254.667
182,2548,254.8,56.056,256.074
183,2562,256.2,56.364,257.481
184,2576,257.6,56.672,258.888
185,2590,259,56.98,260.295
186,2604,260.4,57.288,261.702
187,2618,261.8,57.596,263.109
188,2632,263.2,57.904,264.516
189,2646,264.6,58.212,265.923
190,2660,266,58.52,267.33
191,2674,267.4,58.828,268.737
192,2688,268.8,59.136,270.144
193,2702,270.2,59.444,271.551
194,2716,271.6,59.752,272.958
195,2730,273,60.06,274.365
196,2744,274.4,60.368,275.772
197,2758,275.8,60.676,277.179
198,2772,277.2,60.984,278.586
199,2786,278.6,61.292,279.993
200,2800,280,61.6,281.4
201,2814,281.4,61.908,282.807
202,2828,282.8,62.216,284.214
203,2842,284.2,62.524,285.621
204,2856,285.6,62.832,287.028
205,2870,287,63.14,288.435
206,2884,288.4,63.448,289.842
207,2898,289.8,63.756,291.249
208,2912,291.2,64.064,292.656
209,2926,292.6,64.372,294.063
210,2940,294,64.68,295.47
211,2954,295.4,64.988,296.877
212,2968,296.8,65.296,298.284
213,2982,298.2,65.604,299.691
214,2996,299.6,65.912,301.098
215,3010,301,66.22,302.505
216,3024,302.4,66.528,303.912
217,3038,303.8,66.836,305.319
218,3052,305.2,67.144,306.726
219,3066,306.6,67.452,308.133
220,3080,308,67.76,309.54
221,3094,309.4,68.068,310.947
222,3108,310.8,68.376,312.354
223,3122,312.2,68.684,313.761
224,3136,313.6,68.992,315.168
225,3150,315,69.3,316.575
226,3164,316.4,69.608,317.982
227,3178,317.8,69.916,319.389
