Fatloss,Weight,Calories,Protein,Fats,Carbohydrates,Maintenance,Calories2,Protein2,Fats2,Carbohydrates2,MassGain,Calories3,Protein3,Fats3,Carbohydrates3
,0,0,0,0,0,,0,0,0,0,,0,0,0,0
,1,11,1.4,0.242,0.8055,,14,1.4,0.308,1.407,,17,1.4,0.374,2.0085
,2,22,2.8,0.484,1.611,,28,2.8,0.616,2.814,,34,2.8,0.748,4.017
,3,33,4.2,0.726,2.4165,,42,4.2,0.924,4.221,,51,4.2,1.122,6.0255
,4,44,5.6,0.968,3.222,,56,5.6,1.232,5.628,,68,5.6,1.496,8.034
,5,55,7,1.21,4.0275,,70,7,1.54,7.035,,85,7,1.87,10.0425
,6,66,8.4,1.452,4.833,,84,8.4,1.848,8.442,,102,8.4,2.244,12.051
,7,77,9.8,1.694,5.6385,,98,9.8,2.156,9.849,,119,9.8,2.618,14.0595
,8,88,11.2,1.936,6.444,,112,11.2,2.464,11.256,,136,11.2,2.992,16.068
,9,99,12.6,2.178,7.2495,,126,12.6,2.772,12.663,,153,12.6,3.366,18.0765
,10,110,14,2.42,8.055,,140,14,3.08,14.07,,170,14,3.74,20.085
,11,121,15.4,2.662,8.8605,,154,15.4,3.388,15.477,,187,15.4,4.114,22.0935
,12,132,16.8,2.904,9.666,,168,16.8,3.696,16.884,,204,16.8,4.488,24.102
,13,143,18.2,3.146,10.4715,,182,18.2,4.004,18.291,,221,18.2,4.862,26.1105
,14,154,19.6,3.388,11.277,,196,19.6,4.312,19.698,,238,19.6,5.236,28.119
,15,165,21,3.63,12.0825,,210,21,4.62,21.105,,255,21,5.61,30.1275
,16,176,22.4,3.872,12.888,,224,22.4,4.928,22.512,,272,22.4,5.984,32.136
,17,187,23.8,4.114,13.6935,,238,23.8,5.236,23.919,,289,23.8,6.358,34.1445
,18,198,25.2,4.356,14.499,,252,25.2,5.544,25.326,,306,25.2,6.732,36.153
,19,209,26.6,4.598,15.3045,,266,26.6,5.852,26.733,,323,26.6,7.106,38.1615
,20,220,28,4.84,16.11,,280,28,6.16,28.14,,340,28,7.48,40.17
,21,231,29.4,5.082,16.9155,,294,29.4,6.468,29.547,,357,29.4,7.854,42.1785
,22,242,30.8,5.324,17.721,,308,30.8,6.776,30.954,,374,30.8,8.228,44.187
,23,253,32.2,5.566,18.5265,,322,32.2,7.084,32.361,,391,32.2,8.602,46.1955
,24,264,33.6,5.808,19.332,,336,33.6,7.392,33.768,,408,33.6,8.976,48.204
,25,275,35,6.05,20.1375,,350,35,7.7,35.175,,425,35,9.35,50.2125
,26,286,36.4,6.292,20.943,,364,36.4,8.008,36.582,,442,36.4,9.724,52.221
,27,297,37.8,6.534,21.7485,,378,37.8,8.316,37.989,,459,37.8,10.098,54.2295
,28,308,39.2,6.776,22.554,,392,39.2,8.624,39.396,,476,39.2,10.472,56.238
,29,319,40.6,7.018,23.3595,,406,40.6,8.932,40.803,,493,40.6,10.846,58.2465
,30,330,42,7.26,24.165,,420,42,9.24,42.21,,510,42,11.22,60.255
,31,341,43.4,7.502,24.9705,,434,43.4,9.548,43.617,,527,43.4,11.594,62.2635
,32,352,44.8,7.744,25.776,,448,44.8,9.856,45.024,,544,44.8,11.968,64.272
,33,363,46.2,7.986,26.5815,,462,46.2,10.164,46.431,,561,46.2,12.342,66.2805
,34,374,47.6,8.228,27.387,,476,47.6,10.472,47.838,,578,47.6,12.716,68.289
,35,385,49,8.47,28.1925,,490,49,10.78,49.245,,595,49,13.09,70.2975
,36,396,50.4,8.712,28.998,,504,50.4,11.088,50.652,,612,50.4,13.464,72.306
,37,407,51.8,8.954,29.8035,,518,51.8,11.396,52.059,,629,51.8,13.838,74.3145
,38,418,53.2,9.196,30.609,,532,53.2,11.704,53.466,,646,53.2,14.212,76.323
,39,429,54.6,9.438,31.4145,,546,54.6,12.012,54.873,,663,54.6,14.586,78.3315
,40,440,56,9.68,32.22,,560,56,12.32,56.28,,680,56,14.96,80.34
,41,451,57.4,9.922,33.0255,,574,57.4,12.628,57.687,,697,57.4,15.334,82.3485
,42,462,58.8,10.164,33.831,,588,58.8,12.936,59.094,,714,58.8,15.708,84.357
,43,473,60.2,10.406,34.6365,,602,60.2,13.244,60.501,,731,60.2,16.082,86.3655
,44,484,61.6,10.648,35.442,,616,61.6,13.552,61.908,,748,61.6,16.456,88.374
,45,495,63,10.89,36.2475,,630,63,13.86,63.315,,765,63,16.83,90.3825
,46,506,64.4,11.132,37.053,,644,64.4,14.168,64.722,,782,64.4,17.204,92.391
,47,517,65.8,11.374,37.8585,,658,65.8,14.476,66.129,,799,65.8,17.578,94.3995
,48,528,67.2,11.616,38.664,,672,67.2,14.784,67.536,,816,67.2,17.952,96.408
,49,539,68.6,11.858,39.4695,,686,68.6,15.092,68.943,,833,68.6,18.326,98.4165
,50,550,70,12.1,40.275,,700,70,15.4,70.35,,850,70,18.7,100.425
,51,561,71.4,12.342,41.0805,,714,71.4,15.708,71.757,,867,71.4,19.074,102.4335
